timestamp, utilization.gpu [%], utilization.memory [%], temperature.gpu
2026/03/04 13:28:33.559, 0 %, 0 %, 41
2026/03/04 13:28:33.560, 0 %, 0 %, 33
2026/03/04 13:28:33.561, 0 %, 0 %, 35
2026/03/04 13:28:33.562, 0 %, 0 %, 35
2026/03/04 13:28:33.564, 0 %, 0 %, 29
2026/03/04 13:28:33.565, 0 %, 0 %, 31
2026/03/04 13:28:33.568, 0 %, 0 %, 27
2026/03/04 13:28:33.569, 0 %, 0 %, 28
timestamp, utilization.gpu [%], utilization.memory [%], temperature.gpu
2026/03/04 13:28:43.648, 0 %, 0 %, 41
2026/03/04 13:28:43.650, 0 %, 0 %, 33
2026/03/04 13:28:43.653, 0 %, 0 %, 36
2026/03/04 13:28:43.655, 0 %, 0 %, 35
2026/03/04 13:28:43.656, 0 %, 0 %, 29
2026/03/04 13:28:43.659, 0 %, 0 %, 31
2026/03/04 13:28:43.662, 0 %, 0 %, 27
2026/03/04 13:28:43.664, 0 %, 0 %, 28
timestamp, utilization.gpu [%], utilization.memory [%], temperature.gpu
2026/03/04 13:28:53.755, 0 %, 0 %, 41
2026/03/04 13:28:53.757, 0 %, 0 %, 33
2026/03/04 13:28:53.758, 0 %, 0 %, 35
2026/03/04 13:28:53.759, 0 %, 0 %, 35
2026/03/04 13:28:53.762, 0 %, 0 %, 29
2026/03/04 13:28:53.764, 0 %, 0 %, 31
2026/03/04 13:28:53.765, 0 %, 0 %, 27
2026/03/04 13:28:53.766, 0 %, 0 %, 28
timestamp, utilization.gpu [%], utilization.memory [%], temperature.gpu
2026/03/04 13:29:03.843, 0 %, 0 %, 41
2026/03/04 13:29:03.846, 0 %, 0 %, 33
2026/03/04 13:29:03.847, 0 %, 0 %, 36
2026/03/04 13:29:03.850, 0 %, 0 %, 35
2026/03/04 13:29:03.851, 0 %, 0 %, 29
2026/03/04 13:29:03.854, 0 %, 0 %, 31
2026/03/04 13:29:03.856, 0 %, 0 %, 27
2026/03/04 13:29:03.859, 0 %, 0 %, 28
timestamp, utilization.gpu [%], utilization.memory [%], temperature.gpu
2026/03/04 13:29:13.937, 0 %, 0 %, 41
2026/03/04 13:29:13.938, 0 %, 0 %, 33
2026/03/04 13:29:13.941, 0 %, 0 %, 35
2026/03/04 13:29:13.942, 0 %, 0 %, 35
2026/03/04 13:29:13.945, 0 %, 0 %, 29
2026/03/04 13:29:13.946, 0 %, 0 %, 31
2026/03/04 13:29:13.947, 0 %, 0 %, 27
2026/03/04 13:29:13.949, 0 %, 0 %, 28
timestamp, utilization.gpu [%], utilization.memory [%], temperature.gpu
2026/03/04 13:29:24.025, 0 %, 0 %, 41
2026/03/04 13:29:24.027, 0 %, 0 %, 33
2026/03/04 13:29:24.029, 0 %, 0 %, 35
2026/03/04 13:29:24.031, 0 %, 0 %, 35
2026/03/04 13:29:24.033, 0 %, 0 %, 29
2026/03/04 13:29:24.035, 0 %, 0 %, 31
2026/03/04 13:29:24.038, 0 %, 0 %, 27
2026/03/04 13:29:24.040, 0 %, 0 %, 28
timestamp, utilization.gpu [%], utilization.memory [%], temperature.gpu
2026/03/04 13:29:34.106, 0 %, 0 %, 41
2026/03/04 13:29:34.107, 0 %, 0 %, 33
2026/03/04 13:29:34.110, 0 %, 0 %, 35
2026/03/04 13:29:34.111, 0 %, 0 %, 35
2026/03/04 13:29:34.114, 0 %, 0 %, 29
2026/03/04 13:29:34.117, 0 %, 0 %, 31
2026/03/04 13:29:34.118, 0 %, 0 %, 27
2026/03/04 13:29:34.119, 0 %, 0 %, 28
timestamp, utilization.gpu [%], utilization.memory [%], temperature.gpu
2026/03/04 13:29:44.198, 0 %, 0 %, 41
2026/03/04 13:29:44.201, 0 %, 0 %, 33
2026/03/04 13:29:44.202, 0 %, 0 %, 35
2026/03/04 13:29:44.205, 0 %, 0 %, 35
2026/03/04 13:29:44.206, 0 %, 0 %, 29
2026/03/04 13:29:44.207, 0 %, 0 %, 31
2026/03/04 13:29:44.210, 0 %, 0 %, 27
2026/03/04 13:29:44.211, 0 %, 0 %, 28
timestamp, utilization.gpu [%], utilization.memory [%], temperature.gpu
2026/03/04 13:29:54.290, 0 %, 0 %, 41
2026/03/04 13:29:54.292, 0 %, 0 %, 33
2026/03/04 13:29:54.295, 0 %, 0 %, 35
2026/03/04 13:29:54.296, 0 %, 0 %, 35
2026/03/04 13:29:54.299, 0 %, 0 %, 29
2026/03/04 13:29:54.302, 0 %, 0 %, 31
2026/03/04 13:29:54.303, 0 %, 0 %, 27
2026/03/04 13:29:54.306, 0 %, 0 %, 28
timestamp, utilization.gpu [%], utilization.memory [%], temperature.gpu
2026/03/04 13:30:04.383, 0 %, 0 %, 41
2026/03/04 13:30:04.384, 0 %, 0 %, 33
2026/03/04 13:30:04.386, 0 %, 0 %, 35
2026/03/04 13:30:04.388, 0 %, 0 %, 35
2026/03/04 13:30:04.390, 0 %, 0 %, 29
2026/03/04 13:30:04.391, 0 %, 0 %, 31
2026/03/04 13:30:04.394, 0 %, 0 %, 27
2026/03/04 13:30:04.395, 0 %, 0 %, 28
timestamp, utilization.gpu [%], utilization.memory [%], temperature.gpu
2026/03/04 13:30:14.472, 0 %, 0 %, 41
2026/03/04 13:30:14.474, 0 %, 0 %, 33
2026/03/04 13:30:14.477, 0 %, 0 %, 35
2026/03/04 13:30:14.478, 0 %, 0 %, 35
2026/03/04 13:30:14.481, 0 %, 0 %, 29
2026/03/04 13:30:14.482, 0 %, 0 %, 31
2026/03/04 13:30:14.483, 0 %, 0 %, 27
2026/03/04 13:30:14.486, 0 %, 0 %, 28
timestamp, utilization.gpu [%], utilization.memory [%], temperature.gpu
2026/03/04 13:30:24.564, 0 %, 0 %, 41
2026/03/04 13:30:24.565, 0 %, 0 %, 33
2026/03/04 13:30:24.567, 0 %, 0 %, 35
2026/03/04 13:30:24.568, 0 %, 0 %, 35
2026/03/04 13:30:24.570, 0 %, 0 %, 29
2026/03/04 13:30:24.572, 0 %, 0 %, 31
2026/03/04 13:30:24.573, 0 %, 0 %, 27
2026/03/04 13:30:24.575, 0 %, 0 %, 28
timestamp, utilization.gpu [%], utilization.memory [%], temperature.gpu
2026/03/04 13:30:34.652, 0 %, 0 %, 41
2026/03/04 13:30:34.654, 0 %, 0 %, 33
2026/03/04 13:30:34.657, 0 %, 0 %, 35
2026/03/04 13:30:34.659, 0 %, 0 %, 35
2026/03/04 13:30:34.662, 0 %, 0 %, 29
2026/03/04 13:30:34.663, 0 %, 0 %, 31
2026/03/04 13:30:34.666, 0 %, 0 %, 27
2026/03/04 13:30:34.668, 0 %, 0 %, 28
timestamp, utilization.gpu [%], utilization.memory [%], temperature.gpu
2026/03/04 13:30:44.746, 0 %, 0 %, 41
2026/03/04 13:30:44.747, 0 %, 0 %, 33
2026/03/04 13:30:44.749, 0 %, 0 %, 35
2026/03/04 13:30:44.750, 0 %, 0 %, 35
2026/03/04 13:30:44.752, 0 %, 0 %, 29
2026/03/04 13:30:44.754, 0 %, 0 %, 31
2026/03/04 13:30:44.755, 0 %, 0 %, 27
2026/03/04 13:30:44.758, 0 %, 0 %, 28
timestamp, utilization.gpu [%], utilization.memory [%], temperature.gpu
2026/03/04 13:30:54.835, 0 %, 0 %, 41
2026/03/04 13:30:54.837, 0 %, 0 %, 33
2026/03/04 13:30:54.840, 0 %, 0 %, 36
2026/03/04 13:30:54.842, 0 %, 0 %, 35
2026/03/04 13:30:54.845, 0 %, 0 %, 29
2026/03/04 13:30:54.846, 0 %, 0 %, 31
2026/03/04 13:30:54.849, 0 %, 0 %, 27
2026/03/04 13:30:54.850, 0 %, 0 %, 28
timestamp, utilization.gpu [%], utilization.memory [%], temperature.gpu
2026/03/04 13:31:04.930, 0 %, 0 %, 41
2026/03/04 13:31:04.932, 0 %, 0 %, 33
2026/03/04 13:31:04.934, 0 %, 0 %, 35
2026/03/04 13:31:04.935, 0 %, 0 %, 35
2026/03/04 13:31:04.936, 0 %, 0 %, 29
2026/03/04 13:31:04.939, 0 %, 0 %, 31
2026/03/04 13:31:04.940, 0 %, 0 %, 27
2026/03/04 13:31:04.943, 0 %, 0 %, 28
timestamp, utilization.gpu [%], utilization.memory [%], temperature.gpu
