2121753 0,,,,2121753 1,,
Epoch,epoch_time,gpu_time,,Epoch,epoch_time,gpu_time
0,39.88749122,39.885375,,0,39.88617912,39.88447266
1,39.44568537,39.44520703,,1,39.43205468,39.43171875
2,39.4796082,39.479125,,2,39.47020748,39.46986328
3,39.30206508,39.30157813,,3,39.28392683,39.28358203
4,39.31583825,39.31552734,,4,39.32384559,39.32362891
5,39.19789053,39.19758594,,5,39.26643473,39.26624219
6,39.17130495,39.17088281,,6,39.12115713,39.12083984
7,39.21695638,39.21651172,,7,39.24581791,39.24545313
8,39.47667397,39.47620313,,8,39.47466577,39.47430078
9,39.20053949,39.20008203,,9,39.20553382,39.20518359
,393.6940535,,,,393.7098231,
,,,,,,
,,,,,,
0212_1812 0,,,,0212_1812 1,,
Epoch,epoch_time,gpu_time,,Epoch,epoch_time,gpu_time
0,39.81814305,39.81663672,,0,39.82083283,39.82022266
1,39.17896936,39.178.51171875,,1,39.15967074,39.15936719
2,38.96421604,38.96372656,,2,38.97457648,38.97423828
3,39.07089215,39.07041406,,3,39.08011906,39.07975781
4,39.06029711,39.05981641,,4,39.05428914,39.05394141
5,38.95661,38.95616016,,5,38.97650464,38.97615625
6,39.00226634,39.00177344,,6,39.01419994,39.01382031
7,39.06996804,39.06948438,,7,39.0343328,39.0339375
8,38.98579043,38.98530469,,8,38.97337396,38.97300781
9,39.03535649,39.03489063,,9,39.0564869,39.05613281
,,,,,,
,,,,,,
0212_1819 0,,,,0212_1819 1,,
Epoch,epoch_time,gpu_time,,Epoch,epoch_time,gpu_time
0,39.82186198,39.81876172,,0,39.83094734,39.83025
1,39.37553423,39.37510547,,1,39.37446781,39.37414063
2,39.35562304,39.35515234,,2,39.34872678,39.34837109
3,39.45312152,39.45266797,,3,39.4672825,39.46692969
4,39.07559121,39.07514063,,4,39.05615353,39.05580859
5,39.03312514,39.03267188,,5,39.05033188,39.04998438
6,39.23815438,39.23769922,,6,39.24397459,39.24360547
7,39.27389646,39.2734375,,7,39.24667974,39.24632422
8,39.21157417,39.21110547,,8,39.21177453,39.21141016
9,39.17018803,39.16972656,,9,39.15866466,39.15830078
