/home/aejohnson13/miniforge3/envs/pytorch_env/lib/python3.11/site-packages/torchvision/datasets/cifar.py:83: VisibleDeprecationWarning: dtype(): align should be passed as Python or NumPy boolean but got `align=0`. Did you mean to pass a tuple to create a subarray type? (Deprecated NumPy 2.4)
  entry = pickle.load(f, encoding="latin1")
cuda version: 12.8
number of gpus: 2
starting epochs on gpu 0
starting epochs on gpu 1
Epoch 0 time (perf_counter): 39.822s
Epoch 0 time (event): 39.819s
Epoch 0 time (perf_counter): 39.831s
Epoch 0 time (event): 39.830s
Epoch 1 time (perf_counter): 39.376s
Epoch 1 time (event): 39.375s
Epoch 1 time (perf_counter): 39.374s
Epoch 1 time (event): 39.374s
Epoch 2 time (perf_counter): 39.356s
Epoch 2 time (event): 39.355s
Epoch 2 time (perf_counter): 39.349s
Epoch 2 time (event): 39.348s
Epoch 3 time (perf_counter): 39.453s
Epoch 3 time (event): 39.453s
Epoch 3 time (perf_counter): 39.467s
Epoch 3 time (event): 39.467s
Epoch 4 time (perf_counter): 39.056s
Epoch 4 time (event): 39.056s
Epoch 4 time (perf_counter): 39.076s
Epoch 4 time (event): 39.075s
Epoch 5 time (perf_counter): 39.033s
Epoch 5 time (event): 39.033s
Epoch 5 time (perf_counter): 39.050s
Epoch 5 time (event): 39.050s
Epoch 6 time (perf_counter): 39.238s
Epoch 6 time (event): 39.238s
Epoch 6 time (perf_counter): 39.244s
Epoch 6 time (event): 39.244s
Epoch 7 time (perf_counter): 39.247s
Epoch 7 time (event): 39.246s
Epoch 7 time (perf_counter): 39.274s
Epoch 7 time (event): 39.273s
Epoch 8 time (perf_counter): 39.212s
Epoch 8 time (event): 39.211s
Epoch 8 time (perf_counter): 39.212s
Epoch 8 time (event): 39.211s
Epoch 9 time (perf_counter): 39.159s
Epoch 9 time (event): 39.158s
Epoch 9 time (perf_counter): 39.170s
Epoch 9 time (event): 39.170s
[rank0]:[W212 18:19:35.201315884 ProcessGroupNCCL.cpp:1524] Warning: WARNING: destroy_process_group() was not called before program exit, which can leak resources. For more info, please see https://pytorch.org/docs/stable/distributed.html#shutdown (function operator())
