/home/aejohnson13/miniforge3/envs/pytorch_env/lib/python3.11/site-packages/torchvision/datasets/cifar.py:83: VisibleDeprecationWarning: dtype(): align should be passed as Python or NumPy boolean but got `align=0`. Did you mean to pass a tuple to create a subarray type? (Deprecated NumPy 2.4)
  entry = pickle.load(f, encoding="latin1")
cuda version: 12.8
number of gpus: 8
starting epochs on gpu 1
starting epochs on gpu 6
starting epochs on gpu 5
starting epochs on gpu 2
starting epochs on gpu 3
starting epochs on gpu 4
starting epochs on gpu 7
starting epochs on gpu 0
Epoch 0 time (perf_counter): 10.921s
Epoch 0 time (event): 10.919s
Epoch 0 time (perf_counter): 10.927s
Epoch 0 time (event): 10.926s
Epoch 0 time (perf_counter): 10.932s
Epoch 0 time (event): 10.928s
Epoch 0 time (perf_counter): 10.933s
Epoch 0 time (event): 10.931s
Epoch 0 time (perf_counter): 10.934s
Epoch 0 time (event): 10.931s
Epoch 0 time (perf_counter): 10.940s
Epoch 0 time (event): 10.939s
Epoch 0 time (perf_counter): 10.942s
Epoch 0 time (event): 10.939s
Epoch 0 time (perf_counter): 10.941s
Epoch 0 time (event): 10.939s
Epoch 1 time (perf_counter): 10.166s
Epoch 1 time (event): 10.165s
Epoch 1 time (perf_counter): 10.170s
Epoch 1 time (event): 10.170s
Epoch 1 time (perf_counter): 10.181s
Epoch 1 time (event): 10.181s
Epoch 1 time (perf_counter): 10.169s
Epoch 1 time (event): 10.169s
Epoch 1 time (perf_counter): 10.193s
Epoch 1 time (event): 10.193s
Epoch 1 time (perf_counter): 10.175s
Epoch 1 time (event): 10.175s
Epoch 1 time (perf_counter): 10.196s
Epoch 1 time (event): 10.196s
Epoch 1 time (perf_counter): 10.191s
Epoch 1 time (event): 10.191s
Epoch 2 time (perf_counter): 10.197s
Epoch 2 time (event): 10.197s
Epoch 2 time (perf_counter): 10.172s
Epoch 2 time (event): 10.172s
Epoch 2 time (perf_counter): 10.195s
Epoch 2 time (event): 10.194s
Epoch 2 time (perf_counter): 10.207s
Epoch 2 time (event): 10.207s
Epoch 2 time (perf_counter): 10.195s
Epoch 2 time (event): 10.195s
Epoch 2 time (perf_counter): 10.185s
Epoch 2 time (event): 10.185s
Epoch 2 time (perf_counter): 10.202s
Epoch 2 time (event): 10.202s
Epoch 2 time (perf_counter): 10.209s
Epoch 2 time (event): 10.209s
Epoch 3 time (perf_counter): 10.181s
Epoch 3 time (event): 10.181s
Epoch 3 time (perf_counter): 10.192s
Epoch 3 time (event): 10.192s
Epoch 3 time (perf_counter): 10.176s
Epoch 3 time (event): 10.176s
Epoch 3 time (perf_counter): 10.187s
Epoch 3 time (event): 10.187s
Epoch 3 time (perf_counter): 10.177s
Epoch 3 time (event): 10.176s
Epoch 3 time (perf_counter): 10.183s
Epoch 3 time (event): 10.183s
Epoch 3 time (perf_counter): 10.197s
Epoch 3 time (event): 10.197s
Epoch 3 time (perf_counter): 10.212s
Epoch 3 time (event): 10.211s
Epoch 4 time (perf_counter): 10.173s
Epoch 4 time (event): 10.173s
Epoch 4 time (perf_counter): 10.208s
Epoch 4 time (event): 10.207s
Epoch 4 time (perf_counter): 10.189s
Epoch 4 time (event): 10.189s
Epoch 4 time (perf_counter): 10.191s
Epoch 4 time (event): 10.191s
Epoch 4 time (perf_counter): 10.174s
Epoch 4 time (event): 10.174s
Epoch 4 time (perf_counter): 10.195s
Epoch 4 time (event): 10.195s
Epoch 4 time (perf_counter): 10.197s
Epoch 4 time (event): 10.197s
Epoch 4 time (perf_counter): 10.200s
Epoch 4 time (event): 10.200s
Epoch 5 time (perf_counter): 10.193s
Epoch 5 time (event): 10.193s
Epoch 5 time (perf_counter): 10.212s
Epoch 5 time (event): 10.212s
Epoch 5 time (perf_counter): 10.207s
Epoch 5 time (event): 10.207s
Epoch 5 time (perf_counter): 10.209s
Epoch 5 time (event): 10.209s
Epoch 5 time (perf_counter): 10.207s
Epoch 5 time (event): 10.207s
Epoch 5 time (perf_counter): 10.201s
Epoch 5 time (event): 10.201s
Epoch 5 time (perf_counter): 10.218s
Epoch 5 time (event): 10.218s
Epoch 5 time (perf_counter): 10.230s
Epoch 5 time (event): 10.230s
Epoch 6 time (perf_counter): 10.211s
Epoch 6 time (event): 10.211s
Epoch 6 time (perf_counter): 10.216s
Epoch 6 time (event): 10.216s
Epoch 6 time (perf_counter): 10.226s
Epoch 6 time (event): 10.225s
Epoch 6 time (perf_counter): 10.233s
Epoch 6 time (event): 10.233s
Epoch 6 time (perf_counter): 10.228s
Epoch 6 time (event): 10.228s
Epoch 6 time (perf_counter): 10.232s
Epoch 6 time (event): 10.232s
Epoch 6 time (perf_counter): 10.214s
Epoch 6 time (event): 10.214s
Epoch 6 time (perf_counter): 10.234s
Epoch 6 time (event): 10.234s
Epoch 7 time (perf_counter): 10.211s
Epoch 7 time (event): 10.211s
Epoch 7 time (perf_counter): 10.194s
Epoch 7 time (event): 10.194s
Epoch 7 time (perf_counter): 10.192s
Epoch 7 time (event): 10.192s
Epoch 7 time (perf_counter): 10.224s
Epoch 7 time (event): 10.224s
Epoch 7 time (perf_counter): 10.230s
Epoch 7 time (event): 10.230s
Epoch 7 time (perf_counter): 10.195s
Epoch 7 time (event): 10.195s
Epoch 7 time (perf_counter): 10.205s
Epoch 7 time (event): 10.205s
Epoch 7 time (perf_counter): 10.210s
Epoch 7 time (event): 10.210s
Epoch 8 time (perf_counter): 10.197s
Epoch 8 time (event): 10.196s
Epoch 8 time (perf_counter): 10.210s
Epoch 8 time (event): 10.210s
Epoch 8 time (perf_counter): 10.221s
Epoch 8 time (event): 10.220s
Epoch 8 time (perf_counter): 10.226s
Epoch 8 time (event): 10.226s
Epoch 8 time (perf_counter): 10.217s
Epoch 8 time (event): 10.217s
Epoch 8 time (perf_counter): 10.236s
Epoch 8 time (event): 10.236s
Epoch 8 time (perf_counter): 10.225s
Epoch 8 time (event): 10.224s
Epoch 8 time (perf_counter): 10.222s
Epoch 8 time (event): 10.221s
Epoch 9 time (perf_counter): 10.208s
Epoch 9 time (event): 10.208s
Epoch 9 time (perf_counter): 10.220s
Epoch 9 time (event): 10.220s
Epoch 9 time (perf_counter): 10.208s
Epoch 9 time (event): 10.207s
Epoch 9 time (perf_counter): 10.195s
Epoch 9 time (event): 10.195s
Epoch 9 time (perf_counter): 10.204s
Epoch 9 time (event): 10.204s
Epoch 9 time (perf_counter): 10.208s
Epoch 9 time (event): 10.208s
Epoch 9 time (perf_counter): 10.198s
