Epoch,epoch_time, loss
[0],[1821.1600483302027],[3.5324634375]
[1],[1745.7478942237794],[2.54400953125]
[2],[1743.6539559643716],[2.007131875]
[3],[1761.2155459616333],[1.59747046875]
[4],[1736.1477222442627],[1.275363046875]
[5],[1725.6830055639148],[1.022618984375]
[6],[1707.3042660038918],[0.812176015625]
[7],[1713.3652637153864],[0.66350359375]
[8],[1719.1174503080547],[0.5525320703125]
[9],[1781.8053471241146],[0.4686840234375]
[10],[1821.6724479142576],[0.4117101171875]
[11],[1845.8625803776085],[0.3597328515625]
[12],[1943.1315562147647],[0.3244255078125]
[13],[2044.5687688793987],[0.2952703125]
[14],[1951.2807035502046],[0.26996169921875]
[15],[1861.5565118789673],[0.24538767578125]
[16],[1814.881272898987],[0.2277766796875]
[17],[1718.4641125388443],[0.21625677734375]
[18],[1687.4111677985638],[0.2037637890625]
[19],[1684.3682620860636],[0.1856638671875]
